name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Ardian Ismajli,28,Albania,Empoli,Defender - Centre Back,185,76,Right,230,5,18473,,250,70,55,2,,0.0,83.88,,,0.0,9,21,5.0,0,3
Berat Djimsiti,31,Albania,Atalanta,Defender - Centre Back,190,83,Right,474,15,39068,,531,133,79,1,,0.0,88.0,0.0,,100.0,26,19,10.0,2,4
Elseid Hysaj,30,Albania,Lazio,Defender - Right Back,182,75,Right,487,6,37784,,416,177,72,7,,,86.67,,,0.0,1,0,2.5,1,2
Ivan Balliu,32,Albania,Rayo Vallecano,Defender - Right Back,172,63,Right,423,3,35067,,473,120,91,2,,,76.73,0.0,,66.67,10,6,2.0,2,19
Kristjan Asllani,22,Albania,Inter Milan,Midfielder - Attacking Midfield,175,63,,111,6,5103,6,,,9,0,,50.0,90.57,50.0,232,0.0,4,0,18.0,6,1
Marash Kumbulla,24,Albania,RCD Espanyol,Defender - Centre Back,191,78,Right,133,6,9039,,121,42,32,2,46,50.0,86.0,66.67,,33.33,12,11,4.5,1,3
Ylber Ramadani,28,Albania,Lecce,Midfielder - Defensive Midfield,185,,,304,11,24038,8,,,61,0,,57.14,84.62,0.0,992,56.25,27,9,4.0,2,7
Abderrahman Rebbach,26,Algeria,Deportivo Alavés,Forward,176,,Right,155,34,9755,4,,,32,1,,33.33,68.42,17.65,,25.0,2,0,0.8,0,0
Aissa Mandi,33,Algeria,Lille,Defender - Centre Back,184,78,Right,432,28,36514,,505,123,76,7,,100.0,93.42,66.67,,50.0,10,3,1.8,1,21
Farid El Melali,27,Algeria,Angers SCO,Forward - Left Wing,168,65,,158,19,8077,8,,,11,0,708,40.0,83.03,24.0,708,62.22,10,3,1.5,1,12
Haris Belkebla,30,Algeria,Angers SCO,Midfielder - Central Midfield,177,68,,324,9,25856,2,,,57,3,,0.0,86.96,0.0,,20.0,12,6,1.5,0,6
Hicham Boudaoui,25,Algeria,Nice,Midfielder - Central Midfield,175,61,,170,12,10515,9,,,42,2,630,62.5,84.41,25.0,630,38.1,29,6,10.0,1,20
